0.4000,1.1268,0.8096,0.1490
0.6000,0.9366,1.9582,0.3716
0.0000,0.7473,0.7504,0.6467
0.0000,0.8556,1.7477,0.9065
0.4000,1.1722,0.7372,0.0232
0.0000,1.0351,1.7435,0.8457
0.0000,0.8837,0.7655,0.4770
0.0000,1.3427,1.6443,0.4323
0.2000,1.1874,0.5880,0.4605
0.8000,1.3557,1.9099,0.3561
0.8000,0.5692,0.6916,0.5959
0.0000,0.8879,1.6238,0.9441
0.4000,0.8411,0.7537,0.1045
0.4000,1.1126,1.8380,0.3833
0.0000,1.3009,0.7955,0.3234
0.2000,0.9411,1.7443,0.9690
0.0000,1.1237,0.6482,0.0886
0.2000,0.6697,1.7480,0.9478
0.2000,1.1302,0.5983,0.0490
0.6000,0.9927,1.6986,0.2788
0.4000,0.8121,0.6739,0.4914
0.4000,0.9902,1.8400,0.4775
0.2000,0.8306,0.8023,0.0191
0.2000,1.0541,1.5833,0.7730
0.4000,0.6717,0.7287,0.7433
0.8000,0.8094,1.7128,0.4000
0.4000,1.6446,0.8027,0.3221
0.2000,1.0473,1.6657,0.5935
0.4000,1.3747,0.7922,0.9674
0.6000,0.8762,1.7447,0.6052
0.2000,0.9716,0.8401,0.6244
0.2000,1.3737,1.6944,0.1654
0.2000,0.5727,0.6227,0.5991
0.6000,0.7718,1.8399,0.4907
0.0000,1.8010,0.8899,0.7979
0.6000,0.8893,1.7497,0.1122
0.4000,1.4493,0.7366,0.8243
0.6000,0.9201,1.6985,0.6070
0.4000,0.7700,0.7178,0.8305
0.4000,0.8572,1.6529,0.7215
0.0000,0.9317,0.6792,0.5584
0.2000,1.0621,1.7204,0.7194
0.4000,1.3236,0.7946,0.7492
0.2000,0.8476,1.7560,0.9592
0.2000,1.1153,0.8581,0.4604
0.6000,0.8697,1.6272,0.5197
0.2000,1.4372,0.5639,0.8808
0.6000,1.0612,1.8557,0.1897
0.2000,0.9184,0.6497,0.7383
0.6000,1.1633,1.7385,0.9791
